packet_cnt,packet_cnt_up,packet_cnt_down,intarv_time_med,intarv_time_max,intarv_time_min,intarv_time_med_up,intarv_time_max_up,intarv_time_min_up,intarv_time_med_down,intarv_time_max_down,intarv_time_min_down,bytes_payload_l4_med,bytes_payload_l4_max,bytes_payload_l4_min,bytes_payload_range,bytes_payload_l4_med_up,bytes_payload_l4_max_up,bytes_payload_l4_min_up,bytes_payload_range_up,bytes_payload_l4_med_down,bytes_payload_l4_max_down,bytes_payload_l4_min_down,bytes_payload_range_down,duration_flow,duration_flow_up,duration_flow_down,changes_bulktrans_mode,duration_bulkmode,duration_bulkmode_up,duration_bulkmode_down,qouta_bulkmode,qouta_bulkmode_upstream,qouta_bulkmode_downstream,time_in_idle_mode,time_in_idle_mode_upstream,time_in_idle_mode_downstream,time_in_idle_mode_qouta,time_in_idle_mode_qouta_up,time_in_idle_mode_qouta_down,website
1428,567,861,8.392333984375e-05,2.515758991241455,0.0,0.0029129981994628906,2.515758991241455,0.0,0.00014901161193847656,2.567040205001831,0.0,460,1410,0,1410,0,1410,0,1410,1410,1410,0,1410,2178687323793.2393,865067025703.5303,1313620298089.7085,64,292932749499.56036,4577074181.760628,0,13.44537815502341,0.5291005258278392,0.0,2.515758991241455,2.515758991241455,2.567040205001831,1.1547131907213521e-10,2.908166554141249e-10,1.9541721521316849e-10,5
530,341,189,0.00011610984802246094,3.5188639163970947,0.0,0.000102996826171875,3.5188639163970947,0.0,0.0003819465637207031,3.570932149887085,0.0,70,1410,0,1410,752,1410,0,1410,0,137,0,137,808616443930.6381,520260768569.5366,288355675361.1014,39,178505894261.8319,4577074182.82126,0,5.975485191378492,0.8797653906147838,0.0,8.632692813873291,8.632692813873291,8.788376092910767,2.889794103681268e-10,1.6593011303944724e-09,3.047755547694797e-09,5
2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,3051382789.019315,1525691394.505123,1525691394.514192,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5
2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,3051382789.094532,1525691394.53615,1525691394.558382,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5
2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,3051382790.190326,1525691395.080562,1525691395.109764,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5
2421,874,1547,3.1948089599609375e-05,12.929039001464844,0.0,0.00010514259338378906,12.929039001464844,1.3113021850585938e-05,3.504753112792969e-05,12.945888042449951,0.0,1410,1410,0,1410,0,222,0,222,1410,1410,0,1410,3693698890168.238,1333454288619.6982,2360244601548.546,102,466861570279.34393,4577074193.71599,0,6.978335243838677,0.34324942615422294,0.0,12.929039001464844,12.929039001464844,12.945888042449951,1.9325464822238937e-10,9.695899673357464e-10,5.484977291741802e-10,5
12,5,7,0.0003540515899658203,1.4587209224700928,9.5367431640625e-07,0.5053441524505615,1.4587979316711426,0.0003540515899658203,0.00014209747314453125,1.4999771118164062,9.5367431640625e-07,46,127,0,127,0,112,0,112,48,127,0,127,18308296877.152176,7628457031.746858,10679839845.40532,1,4577074217.576736,4577074217.559165,0,0.0682283375885195,59.99999998048165,0.0,0,0,0,0.0,0.0,0.0,5
127,40,87,4.887580871582031e-05,0.01640796661376953,0.0,0.00047588348388671875,0.016510009765625,5.91278076171875e-05,4.9114227294921875e-05,0.016462087631225586,0.0,1410,1410,0,1410,0,517,0,517,1410,1410,0,1410,193762808829.66705,61027656324.081856,132735152505.5852,4,18308296897.246967,4577074224.131292,0,0.2652519900929897,7.499999999713496,0.0,0,0,0,0.0,0.0,0.0,5
2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,3051382820.598431,1525691410.285757,1525691410.312674,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5
2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,3051382821.951087,1525691410.962053,1525691410.989034,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5
35,13,22,5.3882598876953125e-05,0.018213987350463867,9.5367431640625e-07,0.0050661563873291016,0.019229888916015625,7.104873657226562e-05,7.295608520507812e-05,0.02831411361694336,9.5367431640625e-07,529,1410,0,1410,0,154,0,154,1410,1410,42,1368,53399199393.203606,19833988345.93892,33565211047.264698,1,4577074233.779959,4577074233.551717,0,0.06574621990002243,23.076923076285308,0.0,0,0,0,0.0,0.0,0.0,5
7,4,3,0.00010204315185546875,0.03951597213745117,9.5367431640625e-07,0.0395970344543457,0.0395970344543457,0.00010204315185546875,0.00016808509826660156,0.00016808509826660156,9.5367431640625e-07,46,893,0,893,46,84,0,84,893,893,42,851,10679839878.786312,6102765645.029891,4577074233.756422,0,0,4577074233.738122,0,0.0,74.99999999943802,0.0,0,0,0,0.0,0.0,0.0,5
18,9,9,0.0006611347198486328,10.2410249710083,1.7881393432617188e-05,10.238663911819458,10.241454124450684,0.00011610984802246094,10.23880910873413,10.241464853286743,1.7881393432617188e-05,6,31,0,31,0,31,0,31,6,6,6,0,27453576911.307644,13726788455.651028,13726788455.656618,0,0,4575596077.03997,0,0.0,33.33333278809505,0.0,54.35707473754883,54.36006307601929,54.3610360622406,1.9799632999793231e-07,3.96014430117049e-07,3.960215183460424e-07,5
6,3,3,0.00019979476928710938,0.1782689094543457,3.123283386230469e-05,0.17893719673156738,0.17893719673156738,0.00019979476928710938,0.1782689094543457,0.1782689094543457,0.0008611679077148438,6,31,0,31,0,0,0,0,31,31,6,25,9151192093.247746,4575596046.623592,4575596046.624153,0,0,0,1525198682.148054,0.0,0.0,33.33333333202209,0,0,0,0.0,0.0,0.0,5
8,4,4,0.0008020401000976562,0.011034011840820312,2.5033950805664062e-05,0.011544942855834961,0.011544942855834961,9.512901306152344e-05,0.011034011840820312,0.011034011840820312,7.486343383789062e-05,6,46,0,46,31,46,0,46,6,6,6,0,12201589459.768148,6100794729.88319,6100794729.884958,0,0,4575596047.402633,0,0.0,74.99999999984003,0.0,0,0,0,0.0,0.0,0.0,5
16,8,8,0.10681009292602539,10.243043899536133,4.482269287109375e-05,10.240301132202148,10.24358606338501,0.10720396041870117,10.240348100662231,10.243542909622192,0.10681009292602539,6,6,0,6,0,0,0,0,6,6,6,0,24403179454.853134,12201589727.425032,12201589727.428106,0,0,4575596080.108888,0,0.0,37.499999445355066,0.0,54.335697650909424,54.338467836380005,54.338412046432495,7.421942440190787e-08,4.4533924718223867e-07,4.45338789947055e-07,5
8,4,4,0.0007569789886474609,0.04130983352661133,2.5987625122070312e-05,0.04191398620605469,0.04191398620605469,0.0001289844512939453,0.04130983352661133,0.04130983352661133,0.00033402442932128906,6,46,0,46,31,46,0,46,6,6,6,0,12201589467.857704,6100794733.928011,6100794733.929693,0,0,4575596050.4126,0,0.0,74.9999999994524,0.0,0,0,0,0.0,0.0,0.0,5
8,4,4,0.0007259845733642578,0.03962993621826172,2.9087066650390625e-05,0.040023088455200195,0.040023088455200195,8.20159912109375e-05,0.03962993621826172,0.03962993621826172,5.507469177246094e-05,6,46,0,46,31,46,0,46,6,6,6,0,12201589467.855833,6100794733.927191,6100794733.928643,0,0,4575596050.413389,0,0.0,74.99999999947542,0.0,0,0,0,0.0,0.0,0.0,5
21,10,11,0.0005259513854980469,10.243504047393799,5.9604644775390625e-06,10.235314130783081,10.244029998779297,4.291534423828125e-05,10.235240936279297,10.243972063064575,1.4781951904296875e-05,6,31,0,31,0,31,0,31,6,31,6,25,32029173158.058918,15251987209.700817,16777185948.3581,0,0,4575596081.649255,0,0.0,29.999999467210476,0.0,54.820372104644775,54.82311511039734,54.823594093322754,4.228600192358279e-08,3.5944899741017255e-07,3.267746704487594e-07,5
2221,1069,1152,0.00023412704467773438,5.51199197769165,9.5367431640625e-07,0.005586862564086914,5.51199197769165,9.5367431640625e-07,0.004954814910888672,5.512906074523926,1.9073486328125e-06,42,42285,0,42285,0,7300,0,7300,1410,42285,6,42279,3387466377612.398,1630437441560.3948,1757028936052.002,83,379774483792.48865,4575596052.650375,0,10.797918485713884,0.2806361002278839,0.0,25.904765129089355,25.904765129089355,25.91361117362976,7.365359027340815e-10,1.5888230034939239e-09,1.4748539788910346e-09,5
19,9,10,0.0008440017700195312,58.55782508850098,6.9141387939453125e-06,0.030530929565429688,58.55782508850098,5.2928924560546875e-05,0.02826094627380371,58.55880308151245,7.486343383789062e-05,6,77,0,77,0,46,0,46,6,77,6,71,28978775981.195827,13726788615.33266,15251987365.863165,0,0,4575596117.998644,0,0.0,33.33333269871845,0.0,63.876830101013184,63.876830101013184,63.87870812416077,1.80133283011709e-09,4.653443124319953e-07,4.1882219406458076e-07,5
539,230,309,0.00010514259338378906,11.325919151306152,9.5367431640625e-07,0.022686004638671875,11.325919151306152,9.5367431640625e-07,0.00017905235290527344,11.327106952667236,9.5367431640625e-07,6,7300,0,7300,199,7300,0,7300,6,1651,6,1645,822082112179.8145,350795706043.2815,471286406136.53516,47,215053019828.74677,4575596061.416959,0,4.923184340145654,1.3043477963360297,0.0,53.4511353969574,53.451192140579224,53.588659048080444,1.2236507674194013e-09,1.5237128396886466e-08,1.1370720298806033e-08,5
68,30,38,0.0007739067077636719,26.169410228729248,5.9604644775390625e-06,0.03154110908508301,26.169410228729248,0.0006439685821533203,0.03012681007385254,26.170292854309082,0.0002620220184326172,42,2177,0,2177,0,194,0,194,42,2177,6,2171,103713512459.05133,45755961360.40459,57957551098.646736,0,0,4575596070.443955,0,0.0,9.999999856638347,0.0,42.09084510803223,42.09084510803223,42.095696687698364,9.412332172066354e-10,9.198986067956598e-08,7.263194508692978e-08,5
816,370,446,0.0006940364837646484,14.259886980056763,2.86102294921875e-06,0.0020949840545654297,14.259886980056763,4.792213439941406e-05,0.001695871353149414,14.260792970657349,2.86102294921875e-06,42,26657,0,26657,0,348,0,348,84,26657,6,26651,1244562150013.415,564323523983.307,680238626030.107,3,13726788373.3195,4575596070.586748,0,0.24012806577743778,0.810810798438751,0.0,52.5955171585083,52.5955171585083,52.602086544036865,9.200739066091141e-10,9.320100070835273e-09,7.73288733264446e-09,5
14,7,7,0.0027348995208740234,10.243654012680054,0.0004241466522216797,10.240068912506104,10.244080066680908,10.236370086669922,10.240031003952026,10.246388912200928,10.236508846282959,6,6,0,6,0,0,0,0,6,6,6,0,21352782105.017323,10676391052.505857,10676391052.511469,0,0,4575596103.9202175,0,0.0,42.857142281672786,0.0,61.43715786933899,61.4400360584259,61.442302942276,1.0707445983358336e-09,5.754756991971112e-07,5.754969318758942e-07,5
81,40,41,0.0007748603820800781,24.47983193397522,9.059906005859375e-06,0.004381895065307617,24.47983193397522,0.0003390312194824219,0.00393986701965332,24.4806170463562,1.0013580322265625e-05,42,21983,0,21983,0,193,0,193,42,21983,6,21977,123541098263.34427,61007949777.728004,62533148485.616325,0,0,4575596125.039358,0,0.0,7.499999822498146,0.0,48.802918910980225,48.802918910980225,48.8045380115509,8.326241055206482e-10,7.99943598970057e-08,7.804586718159053e-08,5
337,146,191,0.0006499290466308594,0.7065739631652832,9.059906005859375e-06,0.0021610260009765625,0.7065739631652832,9.918212890625e-05,0.0010988712310791016,0.7074699401855469,1.5020370483398438e-05,78,24652,0,24652,0,366,0,366,1362,24652,6,24646,513991965185.21277,222679011621.28076,291312953563.9319,2,9151192259.091782,4575596124.550462,0,0.14354066858109335,2.0547945184579692,0.0,0,0,0,0.0,0.0,0.0,5
7,3,4,0.0003769397735595703,0.041312217712402344,9.775161743164062e-06,0.042025089263916016,0.042025089263916016,0.00011086463928222656,0.041312217712402344,0.041312217712402344,9.775161743164062e-06,59,444,6,438,167,167,46,121,6,444,6,438,10676390961.05801,4575596126.155291,6100794834.9027195,0,0,0,1525198708.704785,0.0,0.0,24.999999999657508,0,0,0,0.0,0.0,0.0,5
4,2,2,0.03299713134765625,0.03299713134765625,1.9788742065429688e-05,0,0,0,0,0,0,46,46,0,46,46,46,0,46,46,46,6,40,6100794913.920352,3050397456.959715,3050397456.960637,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5
25,13,12,0.0005810260772705078,10.022568941116333,1.4066696166992188e-05,0.004025936126708984,10.022568941116333,0.0001380443572998047,0.004759073257446289,10.023047924041748,1.6927719116210938e-05,6,1410,0,1410,0,607,0,607,307,1410,2,1408,38129968566.89406,19827583654.028336,18302384912.865734,0,0,4575596223.90908,0,0.0,23.076923057033547,0.0,10.022568941116333,10.022568941116333,10.023047924041748,1.5586622492661286e-10,5.054861508089043e-08,5.476361671858408e-08,5
16,8,8,0.0014040470123291016,58.09373903274536,1.811981201171875e-05,0.010061979293823242,58.09373903274536,8.511543273925781e-05,0.009057044982910156,58.09463381767273,0.0002808570861816406,6,77,0,77,31,46,0,46,6,77,6,71,24403183708.83967,12201591854.417759,12201591854.421906,0,0,4575596864.747915,0,0.0,37.499999338949,0.0,63.43242788314819,63.43242788314819,63.43421292304993,2.599350504424994e-07,5.198701008850873e-07,5.198847304506511e-07,3
162,79,83,0.00016808509826660156,11.75935697555542,1.1920928955078125e-06,0.16541314125061035,11.75935697555542,5.4836273193359375e-05,0.1635880470275879,11.76013994216919,1.1920928955078125e-06,6,8424,0,8424,209,3567,0,3567,6,8424,6,8418,247082234481.87772,120490719289.61049,126591515192.26704,5,22877984747.51886,4575596822.103937,0,8.426966317375904,3.7974682606932326,0.0,74.59802746772766,74.59802746772766,74.61413049697876,2.747772899365183e-08,6.191184508445374e-08,5.894086217678563e-08,3
22,11,11,0.006236076354980469,10.249904870986938,2.5033950805664062e-05,10.239364862442017,10.250391006469727,0.010313034057617188,10.23929500579834,10.250185012817383,0.009379863739013672,6,6,0,6,0,0,0,0,6,6,6,0,33554377787.20981,16777188893.599392,16777188893.610413,0,0,4575596855.032465,0,0.0,27.272726581615142,0.0,84.55964660644531,84.56978583335876,84.57002401351929,2.7720857318093702e-08,5.040760187520015e-07,5.040774384183501e-07,3
29,13,16,0.0015490055084228516,33.14002704620361,1.3113021850585938e-05,0.03932595252990723,33.14002704620361,0.0008289813995361328,0.02695608139038086,33.14181399345398,0.0008440017700195312,82,5595,0,5595,82,149,0,149,434,5595,6,5589,44230770028.22203,19827586568.341377,24403183459.880653,0,0,4575596824.462637,0,0.0,23.076922694002874,0.0,41.87005305290222,41.87005305290222,41.87290406227112,1.1987856157385182e-08,2.1117069850425443e-07,1.7158787553726772e-07,3
22,11,11,0.0008370876312255859,10.24353814125061,2.09808349609375e-05,10.240041971206665,10.244271993637085,0.01022195816040039,10.239868879318237,10.244094133377075,0.009363889694213867,6,6,0,6,0,0,0,0,6,6,6,0,33554377795.759644,16777188897.876759,16777188897.882881,0,0,4575596855.800083,0,0.0,27.272726579237293,0.0,85.30553030967712,85.31083297729492,85.31093621253967,2.228316928946462e-08,5.08493010936364e-07,5.084936262671817e-07,3
216,108,108,0.0008399486541748047,34.78346014022827,6.198883056640625e-06,0.00785207748413086,34.78346014022827,6.4849853515625e-05,0.007912874221801758,34.78422498703003,8.296966552734375e-05,99,31204,0,31204,0,145,0,145,2651,31204,6,31198,329442979193.6148,164721489596.81366,164721489596.80096,0,0,4575596825.994148,0,0.0,2.777777712667466,0.0,83.72977232933044,83.72977232933044,83.73697328567505,1.1755375979476297e-08,5.083111653147052e-08,5.08354881264389e-08,3
8,4,4,0.02124190330505371,58.03951096534729,1.9073486328125e-05,58.03951096534729,58.03951096534729,0.021953105926513672,58.08276915550232,58.08276915550232,0.0210418701171875,46,46,0,46,46,46,0,46,46,46,6,40,12201591772.915031,6100795886.477847,6100795886.437186,0,0,4575596885.806055,0,0.0,74.99999952379443,0.0,58.03951096534729,58.03951096534729,58.08276915550232,8.011311695275189e-09,9.513432680806348e-07,9.520523262321791e-07,3
22,11,11,0.0010099411010742188,10.24008297920227,2.1219253540039062e-05,10.240036964416504,10.24068307876587,0.012212038040161133,10.239840984344482,10.240638971328735,0.011180877685546875,6,6,0,6,0,0,0,0,6,6,6,0,33554377822.783447,16777188911.388535,16777188911.394917,0,0,4575596859.62867,0,0.0,27.27272658009296,0.0,85.0304434299469,85.03583812713623,85.03584003448486,1.1217383021962494e-08,5.068539108444622e-07,5.068539222129714e-07,3
8,4,4,0.010703086853027344,58.05032706260681,1.811981201171875e-05,58.05032706260681,58.05032706260681,0.011545896530151367,58.097803831100464,58.097803831100464,0.010663986206054688,46,46,0,46,46,46,0,46,46,46,6,40,12201591804.9055,6100795902.475153,6100795902.430348,0,0,4575596897.807972,0,0.0,74.99999952385896,0.0,58.05032706260681,58.05032706260681,58.097803831100464,7.536796462677352e-09,9.51520555523833e-07,9.522987616739692e-07,3
8,4,4,0.034284114837646484,58.120315074920654,1.8835067749023438e-05,58.120315074920654,58.120315074920654,0.03526806831359863,58.12121105194092,58.12121105194092,0.034284114837646484,46,46,0,46,46,46,0,46,46,46,6,40,12201591877.538517,6100795938.76836,6100795938.770158,0,0,4575596924.980799,0,0.0,74.9999995230873,0.0,58.120315074920654,58.120315074920654,58.12121105194092,7.428208562479783e-09,9.526677446394656e-07,9.526824308707727e-07,3
16,8,8,0.0008161067962646484,58.14259696006775,1.6927719116210938e-05,0.01896500587463379,58.14259696006775,0.00010395050048828125,0.018378019332885742,58.14316487312317,0.0002720355987548828,6,77,0,77,31,46,0,46,6,77,6,71,24403184053.545498,12201592026.771128,12201592026.774368,0,0,4575596930.968185,0,0.0,37.49999935196172,0.0,62.36620497703552,62.36620497703552,62.36762499809265,7.729780109107811e-09,5.111317018320216e-07,5.111433398300587e-07,3
